Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Benedikt;3 sobe;5 oseb;20
Benedikt;3 sobe;6 oseb;20
Benedikt;3 sobe;7 oseb ali veè;11
Benedikt;4 sobe;Število oseb -SKUPAJ;123
Benedikt;4 sobe;1 oseba;16
Benedikt;4 sobe;2 osebi;23
Benedikt;4 sobe;3 osebe;29
Benedikt;4 sobe;4 osebe;19
Benedikt;4 sobe;5 oseb;17
Benedikt;4 sobe;6 oseb;5
Benedikt;4 sobe;7 oseb ali veè;14
Benedikt;5 sob ali veè;Število oseb -SKUPAJ;167
Benedikt;5 sob ali veè;1 oseba;16
Benedikt;5 sob ali veè;2 osebi;19
Benedikt;5 sob ali veè;3 osebe;26
Benedikt;5 sob ali veè;4 osebe;49
Benedikt;5 sob ali veè;5 oseb;25
Benedikt;5 sob ali veè;6 oseb;16
Benedikt;5 sob ali veè;7 oseb ali veè;16
Bistrica ob Sotli;Število sob - SKUPAJ;Število oseb -SKUPAJ;431
Bistrica ob Sotli;Število sob - SKUPAJ;1 oseba;95
Bistrica ob Sotli;Število sob - SKUPAJ;2 osebi;82
Bistrica ob Sotli;Število sob - SKUPAJ;3 osebe;70
Bistrica ob Sotli;Število sob - SKUPAJ;4 osebe;86
Bistrica ob Sotli;Število sob - SKUPAJ;5 oseb;56
Bistrica ob Sotli;Število sob - SKUPAJ;6 oseb;22
Bistrica ob Sotli;Število sob - SKUPAJ;7 oseb ali veè;20
Bistrica ob Sotli;1 soba;Število oseb -SKUPAJ;28
Bistrica ob Sotli;1 soba;1 oseba;14
Bistrica ob Sotli;1 soba;2 osebi;7
Bistrica ob Sotli;1 soba;3 osebe;2
Bistrica ob Sotli;1 soba;4 osebe;3
Bistrica ob Sotli;1 soba;5 oseb;1
Bistrica ob Sotli;1 soba;6 oseb;0
Bistrica ob Sotli;1 soba;7 oseb ali veè;1
Bistrica ob Sotli;2 sobi;Število oseb -SKUPAJ;108
Bistrica ob Sotli;2 sobi;1 oseba;40
Bistrica ob Sotli;2 sobi;2 osebi;24
Bistrica ob Sotli;2 sobi;3 osebe;19
Bistrica ob Sotli;2 sobi;4 osebe;15
Bistrica ob Sotli;2 sobi;5 oseb;6
Bistrica ob Sotli;2 sobi;6 oseb;2
Bistrica ob Sotli;2 sobi;7 oseb ali veè;2
Bistrica ob Sotli;3 sobe;Število oseb -SKUPAJ;122
Bistrica ob Sotli;3 sobe;1 oseba;24
Bistrica ob Sotli;3 sobe;2 osebi;26
Bistrica ob Sotli;3 sobe;3 osebe;23
Bistrica ob Sotli;3 sobe;4 osebe;27
Bistrica ob Sotli;3 sobe;5 oseb;12
Bistrica ob Sotli;3 sobe;6 oseb;6
Bistrica ob Sotli;3 sobe;7 oseb ali veè;4
Bistrica ob Sotli;4 sobe;Število oseb -SKUPAJ;76
Bistrica ob Sotli;4 sobe;1 oseba;6
Bistrica ob Sotli;4 sobe;2 osebi;15
Bistrica ob Sotli;4 sobe;3 osebe;17
Bistrica ob Sotli;4 sobe;4 osebe;15
